id,en,ru
building_new.floor_2.room_2424_n,2424,2424
building_new.floor_2.room_2422_n,2422,2422
building_new.floor_2.room_2322_n,2322,2322
building_new.floor_2.stair_1,1,1
building_new.floor_2.elevator_0,0,0
building_new.floor_2.toilet_0,0,0
building_new.floor_2.room_2323_n,2323,2323
building_new.floor_2.room_2324_n,2324,2324
building_new.floor_2.room_2314_n,2314,2314
building_new.floor_2.room_2313_n,2313,2313
building_new.floor_2.room_2311_n,2311,2311
building_new.floor_2.room_2325_n,2325,2325
building_new.floor_2.room_2326_n,2326,2326
building_new.floor_2.room_2327_n,2327,2327
building_new.floor_2.stair_2,2,2
building_new.floor_2.disabledToilet_0,0,0
building_new.floor_2.room_2328_n,2328,2328
building_new.floor_2.room_2329_n,2329,2329
building_new.floor_2.elevator_1,1,1
building_new.floor_2.diner_0,0,0
building_new.floor_2.room_2259_n,2259,2259
building_new.floor_2.room_2257_n,2257,2257
building_new.floor_2.room_2256_n,2256,2256
building_new.floor_2.room_2254_n,2254,2254
building_new.floor_2.room_2253_n,2253,2253
building_new.floor_2.room_2252_n,2252,2252
building_new.floor_2.room_2251_n,2251,2251
building_new.floor_2.room_2242_n,2242,2242
building_new.floor_2.room_2241_n,2241,2241
building_new.floor_2.room_2240_n,2240,2240
building_new.floor_2.stair_3,3,3
building_new.floor_2.room_2304_n,2304,2304
building_new.floor_2.room_2303_n,2303,2303
building_new.floor_2.room_2302_n,2302,2302
building_new.floor_2.stair_4,4,4
building_new.floor_2.room_2348_n,2348,2348
building_new.floor_2.room_2347_n,2347,2347
building_new.floor_2.room_2346_n,2346,2346
building_new.floor_2.toilet_1,1,1
building_new.floor_2.elevator_2,2,2
building_new.floor_2.room_2260_n,2260,2260
building_new.floor_2.room_2261_n,2261,2261
building_new.floor_2.stair_5,5,5
building_new.floor_2.room_2262_n,2262,2262
building_new.floor_2.room_2263_n,2263,2263
building_new.floor_2.room_2264_n,2264,2264
building_new.floor_2.room_2265_n,2265,2265
building_new.floor_2.room_2266_n,2266,2266
building_new.floor_2.stair_6,6,6
building_new.floor_2.room_2269_n,2269,2269
building_new.floor_2.room_2270_n,2270,2270
building_new.floor_2.room_2271_n,2271,2271
building_new.floor_2.room_2272_n,2272,2272
building_new.floor_2.toilet_2,2,2
building_new.floor_2.disabledToilet_1,1,1
building_new.floor_2.elevator_3,3,3
building_new.floor_2.room_2203_n,2203,2203
building_new.floor_2.room_2204_n,2204,2204
building_new.floor_2.room_2205_n,2205,2205
building_new.floor_2.room_2235_n,2235,2235
building_new.floor_2.room_2234_n,2234,2234
building_new.floor_2.room_2233_n,2233,2233
building_new.floor_2.toilet_3,3,3
building_new.floor_2.room_2206_n,2206,2206
building_new.floor_2.stair_7,7,7
building_new.floor_2.room_2225_n,2225,2225
building_new.floor_2.room_2211_n,2211,2211
building_new.floor_2.room_2212_n,2212,2212
building_new.floor_2.room_2224_n,2224,2224
building_new.floor_2.room_2223_n,2223,2223
building_new.floor_2.room_2213_n,2213,2213
building_new.floor_2.room_2214_n,2214,2214
building_new.floor_2.room_2215_n,2215,2215
building_new.floor_2.room_2221_n,2221,2221
building_new.floor_2.stair_8,8,8
building_new.floor_2.room_2216_n,2216,2216
building_new.floor_2.room_2219_n,2219,2219
